task,dataset,image,quality,method,bpp,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output
jpeg_compression,kodak24,kodim01,30,ectv,1.0447733918128654,26.058609316000023,0.730920135974884,0.9288358092308044,0.02652430161833763,0.35744088888168335,0.1119374930858612
jpeg_compression,kodak24,kodim01,50,ectv,1.423062865497076,26.482189004877846,0.7469231486320496,0.9367817044258118,0.02520187571644783,0.35744088888168335,0.11622150242328644
jpeg_compression,kodak24,kodim01,70,ectv,1.9607090643274854,26.662882392439982,0.758526086807251,0.939954936504364,0.024665124714374542,0.35744088888168335,0.12559306621551514
jpeg_compression,kodak24,kodim01,10,ectv_fidelity,0.40899122807017546,23.61998709797275,0.5323777794837952,0.8152474761009216,0.040967464447021484,0.35744088888168335,0.055598706007003784
jpeg_compression,kodak24,kodim01,20,ectv_fidelity,0.5846125730994152,24.95664470112045,0.6086375117301941,0.880584716796875,0.03596626594662666,0.35744088888168335,0.05998963862657547
jpeg_compression,kodak24,kodim01,30,ectv_fidelity,0.7282529239766082,25.48764133048232,0.6403989195823669,0.8991064429283142,0.034732140600681305,0.35744088888168335,0.05985216423869133
jpeg_compression,kodak24,kodim01,50,ectv_fidelity,0.9676535087719298,25.92209696824844,0.6642317771911621,0.9070825576782227,0.033794671297073364,0.35744088888168335,0.05967502295970917
jpeg_compression,kodak24,kodim01,70,ectv_fidelity,1.2887426900584795,26.21694647823421,0.6807401776313782,0.9137973785400391,0.0332106277346611,0.35744088888168335,0.059349820017814636
jpeg_compression,kodak24,kodim01,10,bilateral_val,0.4018640350877193,22.832301994027887,0.49165692925453186,0.7892844080924988,0.0429893396794796,0.35744088888168335,0.05555443465709686
jpeg_compression,kodak24,kodim01,20,bilateral_val,0.600328947368421,23.878245526467673,0.5786646008491516,0.8754574656486511,0.036702364683151245,0.35744088888168335,0.06618718057870865
jpeg_compression,kodak24,kodim01,30,bilateral_val,0.7817982456140351,24.29548913979731,0.6144735217094421,0.8947692513465881,0.03475697711110115,0.35744088888168335,0.07137037813663483
jpeg_compression,kodak24,kodim01,50,bilateral_val,1.0933845029239766,24.640581780770994,0.6428484320640564,0.9078361988067627,0.03330744802951813,0.35744088888168335,0.07715242356061935
jpeg_compression,kodak24,kodim01,70,bilateral_val,1.5286915204678362,24.793820545469167,0.6620659232139587,0.9125481843948364,0.0324440598487854,0.35744088888168335,0.08532343059778214
jpeg_compression,kodak24,kodim01,10,pm_diff_val,0.4168494152046784,23.358213549375563,0.5453627109527588,0.7927766442298889,0.04180879890918732,0.35744088888168335,0.0561351515352726
jpeg_compression,kodak24,kodim01,20,pm_diff_val,0.6008771929824561,24.349444553500362,0.6149466037750244,0.8416601419448853,0.03837200999259949,0.35744088888168335,0.0579516664147377
jpeg_compression,kodak24,kodim01,30,pm_diff_val,0.7394005847953217,24.72209822019021,0.6372901797294617,0.8594358563423157,0.037413403391838074,0.35744088888168335,0.057366687804460526
