task,dataset,image,sigma255,method,edge_precision,edge_recall,edge_f1,edge_density,pred_edge_count,ref_edge_count,canny_sigma,canny_low,canny_high,tolerance_px,edge_f1_tol2
edge_extraction,kodak24,kodim03,50,bilateral_val,0.5146579804560261,0.555224688684353,0.5341722512566872,0.09116867690058479,3991.0,3694.0,1.0,0.1,0.2,1.0,0.6210956439844408
edge_extraction,kodak24,kodim03,50,pm_diff_val,0.40712223291626565,0.7980508933405522,0.539182719227661,0.16614126461988304,7273.0,3694.0,1.0,0.1,0.2,1.0,0.5968691877406184
edge_extraction,kodak24,kodim03,50,wavelet_bayes,0.549721325902024,0.5151597184623714,0.5318796592035889,0.07787372076023392,3409.0,3694.0,1.0,0.1,0.2,1.0,0.6768306752126709
edge_extraction,kodak24,kodim03,50,nlm,0.9603753910323254,0.5021656740660531,0.6594926694407135,0.0438139619883041,1918.0,3694.0,1.0,0.1,0.2,1.0,0.6983180210500743
edge_extraction,kodak24,kodim03,50,bm3d,0.9222488038277512,0.6461829994585815,0.7599201916918923,0.057291666666666664,2508.0,3694.0,1.0,0.1,0.2,1.0,0.7934805089770645
edge_extraction,kodak24,kodim03,50,fdncnn_color,0.9613978057700122,0.6543042772062805,0.7786666899052106,0.056218019005847955,2461.0,3694.0,1.0,0.1,0.2,1.0,0.8060348845682717
edge_extraction,kodak24,kodim03,50,ectv_fdncnn,0.9613978057700122,0.6543042772062805,0.7786666899052106,0.056218019005847955,2461.0,3694.0,1.0,0.1,0.2,1.0,0.8060348845682717
edge_extraction,kodak24,kodim04,25,noisy,0.3936151552359235,0.9594021860361365,0.5582119738912713,0.2604623538011696,11402.0,4483.0,1.0,0.1,0.2,1.0,0.6218423011779105
edge_extraction,kodak24,kodim04,25,tv_maxiter,0.7931888544891641,0.8543386125362481,0.8226289139166576,0.11067708333333333,4845.0,4483.0,1.0,0.1,0.2,1.0,0.8747575720564434
edge_extraction,kodak24,kodim04,25,tv_fixedk_val,0.806977229997911,0.8563461967432523,0.8309290552361748,0.10935215643274854,4787.0,4483.0,1.0,0.1,0.2,1.0,0.8814110502235407
edge_extraction,kodak24,kodim04,25,tv_discrepancy,0.7931888544891641,0.8543386125362481,0.8226289139166576,0.11067708333333333,4845.0,4483.0,1.0,0.1,0.2,1.0,0.8747575720564434
edge_extraction,kodak24,kodim04,25,tv_chambolle_val,0.9317395407360806,0.6698639304037475,0.7793923054198514,0.07261970029239766,3179.0,4483.0,1.0,0.1,0.2,1.0,0.8292929833528454
