task,dataset,image,sigma255,seed,method,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output,iterations,runtime,budget,removed,p,temporal_residual_fluctuation,gamma,lambda,alpha,eta,accepted
video_sequence,kodak24_synthetic_sequence,kodim01_frame_02,20,2,ectv_fdncnn,31.195412289267985,0.8972318172454834,0.9771881699562073,0.014919416047632694,0.3007315397262573,0.10451312363147736,0,1.213068499999281,0.31619728928517676,0.19621841609477997,0.7636462120215243,0.0298819150775671,0.32,,0.3333333333333333,1.0,1.0
video_sequence,kodak24_synthetic_sequence,kodim01_frame_03,20,3,noisy,22.15833850281006,0.5817695260047913,0.9372664093971252,0.029744641855359077,0.3000444173812866,0.3000444173812866,0,0.0,0.0,0.0,0.0,0.08808248490095139,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_03,20,3,ectv,24.233108138203484,0.6619893312454224,0.946586012840271,0.024667078629136086,0.3000444173812866,0.2255905121564865,2,0.02501740000116115,0.07445392071945282,0.07445390522480011,0.7636462120215243,0.06937038153409958,0.04,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_03,20,3,ectv_fidelity,26.7750637945434,0.6926578879356384,0.9053632020950317,0.03431112319231033,0.3000444173812866,0.04746096953749657,80,0.23055790000034904,0.31619728928517676,0.25258344784379005,0.7636462120215243,0.0480639822781086,0.32,0.12,0.3333333333333333,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_03,20,3,tv_maxiter,27.88846000117423,0.7801181674003601,0.949040412902832,0.0253400057554245,0.3000444173812866,0.07846511900424957,20,0.06241510000108974,inf,0.22157929837703705,0.7636462120215243,0.04485173895955086,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_03,20,3,tv_fixedk_val,27.890784569871407,0.7796945571899414,0.9485270380973816,0.025502268224954605,0.3000444173812866,0.07825470715761185,40,0.11427850000109174,,0.22178971022367477,0.7636462120215243,0.04472934827208519,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_03,20,3,tv_discrepancy,27.88846000117423,0.7801181674003601,0.949040412902832,0.0253400057554245,0.3000444173812866,0.07846511900424957,20,0.05946609999955399,,0.22157929837703705,0.7636462120215243,0.04485173895955086,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_03,20,3,tv_chambolle_val,26.378746410949244,0.6769002079963684,0.9072175025939941,0.03406982868909836,0.3000444173812866,0.05219488963484764,0,0.016779699999460718,,,0.0,0.051212143152952194,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_03,20,3,gaussian_val,25.623915643565525,0.6992467045783997,0.8891843557357788,0.03370194137096405,0.3000444173812866,0.06409906595945358,0,0.00015939999866532162,,,0.0,0.05934227257966995,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_03,20,3,median_val,23.712300381340864,0.52264803647995,0.8143635392189026,0.04029063135385513,0.3000444173812866,0.05935313552618027,0,0.0005139999993843958,,,0.0,0.06795336306095123,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_03,20,3,bilateral_val,26.324711639293717,0.7368106842041016,0.9415127635002136,0.02710900455713272,0.3000444173812866,0.10961027443408966,0,0.14523670000016864,,,0.0,0.04355308786034584,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_03,20,3,pm_diff_val,26.12089818513171,0.6911826729774475,0.9100269675254822,0.03287314623594284,0.3000444173812866,0.05712078511714935,5,0.005893400000786642,,,0.0,0.056010328233242035,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_03,20,3,wavelet_bayes,26.533407859309335,0.7263042330741882,0.9430515170097351,0.023975197225809097,0.3000444173812866,0.12323742359876633,0,0.0033607000004849397,,,0.0,0.05161743238568306,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_03,20,3,nlm,27.4593140217984,0.718174397945404,0.9147915244102478,0.02910740114748478,0.3000444173812866,0.07559187710285187,0,0.043916900000112946,,,0.0,0.04282386973500252,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_03,20,3,bm3d,30.82644956717216,0.8875646591186523,0.9724880456924438,0.01608136296272278,0.3000444173812866,0.10073831677436829,0,1.4346139000008407,,,0.0,0.030562851577997208,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_03,20,3,fdncnn_color,31.11184698390684,0.8950690627098083,0.9755532741546631,0.015242572873830795,0.3000444173812866,0.10236665606498718,0,1.229524099999253,,,0.0,0.0298819150775671,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_03,20,3,ectv_fdncnn,31.11184698390684,0.8950690627098083,0.9755532741546631,0.015242572873830795,0.3000444173812866,0.10236665606498718,0,1.231408999999985,0.31619728928517676,0.19767776131629944,0.7636462120215243,0.0298819150775671,0.32,,0.3333333333333333,1.0,1.0
video_sequence,kodak24_synthetic_sequence,kodim01_frame_04,20,4,noisy,22.16373898010703,0.5881316065788269,0.9366277456283569,0.029803000390529633,0.3036673963069916,0.3036673963069916,0,0.0,0.0,0.0,0.0,0.08808248490095139,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_04,20,4,ectv,24.219936872888987,0.6673896312713623,0.9455999135971069,0.02479439415037632,0.3036673963069916,0.22921347618103027,2,0.024295700000948273,0.07445392071945282,0.0744539201259613,0.7636462120215243,0.06937038153409958,0.04,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_04,20,4,ectv_fidelity,26.446580120720572,0.6953478455543518,0.9034522771835327,0.0346611812710762,0.3036673963069916,0.04980599880218506,80,0.23121390000051179,0.31619728928517676,0.2538613975048065,0.7636462120215243,0.0480639822781086,0.32,0.12,0.3333333333333333,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_04,20,4,tv_maxiter,27.686726736427502,0.784430980682373,0.9490878582000732,0.025423863902688026,0.3036673963069916,0.08232326060533524,20,0.06020390000048792,inf,0.22134413570165634,0.7636462120215243,0.04485173895955086,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_04,20,4,tv_fixedk_val,27.681064708068313,0.7837360501289368,0.9484893083572388,0.02560580149292946,0.3036673963069916,0.08207979053258896,40,0.11594890000014857,,0.22158760577440262,0.7636462120215243,0.04472934827208519,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_04,20,4,tv_discrepancy,27.686726736427502,0.784430980682373,0.9490878582000732,0.025423863902688026,0.3036673963069916,0.08232326060533524,20,0.06094379999922239,,0.22134413570165634,0.7636462120215243,0.04485173895955086,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_04,20,4,tv_chambolle_val,26.205997231236328,0.7010672688484192,0.9065434336662292,0.03402378782629967,0.3036673963069916,0.06404764950275421,0,0.013422900001387461,,,0.0,0.051212143152952194,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_04,20,4,gaussian_val,25.13018722606395,0.6977689862251282,0.8846195340156555,0.03384998440742493,0.3036673963069916,0.06437300890684128,0,0.00016999999934341758,,,0.0,0.05934227257966995,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_04,20,4,median_val,23.244393596926457,0.5231733322143555,0.8056687712669373,0.04061806946992874,0.3036673963069916,0.05939268320798874,0,0.0005983999999443768,,,0.0,0.06795336306095123,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_04,20,4,bilateral_val,26.382828012870362,0.7429381012916565,0.9420769810676575,0.026796044781804085,0.3036673963069916,0.11535512655973434,0,0.13952659999995376,,,0.0,0.04355308786034584,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_04,20,4,pm_diff_val,25.704357699937333,0.692443311214447,0.904487133026123,0.03323206678032875,0.3036673963069916,0.058608528226614,5,0.005357800000638235,,,0.0,0.056010328233242035,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_04,20,4,wavelet_bayes,26.463269152625802,0.729708194732666,0.9440486431121826,0.02377450466156006,0.3036673963069916,0.13251012563705444,0,0.0035122999997838633,,,0.0,0.05161743238568306,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_04,20,4,nlm,27.502389183841917,0.7246713042259216,0.9165151715278625,0.02869667112827301,0.3036673963069916,0.0833340659737587,0,0.04048549999970419,,,0.0,0.04282386973500252,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_04,20,4,bm3d,30.856031822425063,0.8906144499778748,0.9741448163986206,0.01569327525794506,0.3036673963069916,0.10723938047885895,0,1.4160735999994358,,,0.0,0.030562851577997208,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_04,20,4,fdncnn_color,31.145320605267756,0.8983821272850037,0.9764776229858398,0.014981437474489212,0.3036673963069916,0.10844114422798157,0,1.2311391999992338,,,0.0,0.0298819150775671,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_04,20,4,ectv_fdncnn,31.145320605267756,0.8983821272850037,0.9764776229858398,0.014981437474489212,0.3036673963069916,0.10844114422798157,0,1.2329453999991529,0.31619728928517676,0.19522625207901,0.7636462120215243,0.0298819150775671,0.32,,0.3333333333333333,1.0,1.0
video_sequence,kodak24_synthetic_sequence,kodim01_frame_05,20,5,noisy,22.149592443627967,0.588403046131134,0.9343816637992859,0.030148910358548164,0.30270159244537354,0.30270159244537354,0,0.0,0.0,0.0,0.0,0.08808248490095139,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_05,20,5,ectv,24.205057541528095,0.6674520373344421,0.9436709880828857,0.0251737330108881,0.30270159244537354,0.22824768722057343,2,0.022845499999675667,0.07445392071945282,0.07445390522480011,0.7636462120215243,0.06937038153409958,0.04,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_05,20,5,ectv_fidelity,26.604778639915388,0.6993655562400818,0.9065141677856445,0.03426259383559227,0.30270159244537354,0.049313005059957504,80,0.26837850000083563,0.31619728928517676,0.25338858738541603,0.7636462120215243,0.0480639822781086,0.32,0.12,0.3333333333333333,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_05,20,5,tv_maxiter,27.7765607514444,0.785616397857666,0.949931263923645,0.02524721436202526,0.30270159244537354,0.08121076971292496,20,0.058128999999098596,inf,0.22149082273244858,0.7636462120215243,0.04485173895955086,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_05,20,5,tv_fixedk_val,27.775597842335436,0.7850956916809082,0.9493688941001892,0.025426091626286507,0.30270159244537354,0.08097568899393082,40,0.1306598999999551,,0.22172590345144272,0.7636462120215243,0.04472934827208519,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_05,20,5,tv_discrepancy,27.7765607514444,0.785616397857666,0.949931263923645,0.02524721436202526,0.30270159244537354,0.08121076971292496,20,0.06653819999883126,,0.22149082273244858,0.7636462120215243,0.04485173895955086,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_05,20,5,tv_chambolle_val,26.566791745080106,0.7302126288414001,0.9185755848884583,0.03208160772919655,0.30270159244537354,0.0717989057302475,0,0.007479300000341027,,,0.0,0.051212143152952194,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_05,20,5,gaussian_val,25.26049884482247,0.6999743580818176,0.8787046074867249,0.03365331143140793,0.30270159244537354,0.06440915912389755,0,0.00023019999935058877,,,0.0,0.05934227257966995,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_05,20,5,median_val,23.255863133022117,0.5257172584533691,0.7763408422470093,0.04113168641924858,0.30270159244537354,0.05976737663149834,0,0.0006489999996119877,,,0.0,0.06795336306095123,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_05,20,5,bilateral_val,26.36682124947924,0.7429628372192383,0.9409250020980835,0.026867058128118515,0.30270159244537354,0.1136293038725853,0,0.13573109999924782,,,0.0,0.04355308786034584,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_05,20,5,pm_diff_val,25.84520427225813,0.6936629414558411,0.9054282307624817,0.032954998314380646,0.30270159244537354,0.05845842882990837,5,0.006698700000924873,,,0.0,0.056010328233242035,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_05,20,5,wavelet_bayes,26.459001565159042,0.7299385070800781,0.9434321522712708,0.024035334587097168,0.30270159244537354,0.1307617723941803,0,0.003328999999212101,,,0.0,0.05161743238568306,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_05,20,5,nlm,27.567410674673813,0.7255952954292297,0.9184244275093079,0.0284721776843071,0.30270159244537354,0.08036378026008606,0,0.040982100001201616,,,0.0,0.04282386973500252,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_05,20,5,bm3d,30.896403158014685,0.8916149735450745,0.9748367071151733,0.01562717743217945,0.30270159244537354,0.10433264076709747,0,1.4484688000011374,,,0.0,0.030562851577997208,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_05,20,5,fdncnn_color,31.16651693538083,0.8984130024909973,0.9770717620849609,0.014859522692859173,0.30270159244537354,0.1060868501663208,0,1.2092477000005601,,,0.0,0.0298819150775671,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_05,20,5,ectv_fdncnn,31.16651693538083,0.8984130024909973,0.9770717620849609,0.014859522692859173,0.30270159244537354,0.1060868501663208,0,1.2117947000006097,0.31619728928517676,0.19661474227905273,0.7636462120215243,0.0298819150775671,0.32,,0.3333333333333333,1.0,1.0
video_sequence,kodak24_synthetic_sequence,kodim01_frame_06,20,6,noisy,22.167461744177373,0.5871723294258118,0.9363090395927429,0.029858022928237915,0.3002193868160248,0.3002193868160248,0,0.0,0.0,0.0,0.0,0.08808248490095139,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_06,20,6,ectv,24.23765900867082,0.6668853163719177,0.9455766677856445,0.024841077625751495,0.3002193868160248,0.22576546669006348,2,0.038178300001163734,0.07445392071945282,0.0744539201259613,0.7636462120215243,0.06937038153409958,0.04,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_06,20,6,ectv_fidelity,26.675617076741055,0.6964749693870544,0.9077918529510498,0.03430549055337906,0.3002193868160248,0.04842013120651245,80,0.27852899999925285,0.31619728928517676,0.25179925560951233,0.7636462120215243,0.0480639822781086,0.32,0.12,0.3333333333333333,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_06,20,6,tv_maxiter,27.818713261425675,0.7825062274932861,0.9506534337997437,0.025310136377811432,0.3002193868160248,0.07962966710329056,20,0.07175669999924139,inf,0.22058971971273422,0.7636462120215243,0.04485173895955086,,,,,
video_sequence,kodak24_synthetic_sequence,kodim01_frame_06,20,6,tv_fixedk_val,27.819891193956664,0.7820445895195007,0.9500991702079773,0.025486139580607414,0.3002193868160248,0.07940949499607086,40,0.1400945999994292,,0.22080989181995392,0.7636462120215243,0.04472934827208519,,,,,
