task,dataset,image,sigma255,seed,method,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output,iterations,runtime,budget,removed,p,gamma,lambda,alpha,eta,accepted
real_camera,polyu_full,NikonD800_6-3_125_5000_plant_10,1.1361863755620425,-1,ectv_fdncnn,38.01771056484103,0.9309656620025636,0.979282021522522,0.0054125101305544,0.035639327019453,0.0356249772012233,0,1.979981199998292,1.4351091620729457e-05,1.4349818229675291e-05,0.9989683302248508,0.32,,0.3333333333333333,0.0033928751945495,0.0
real_camera,polyu_full,NikonD800_6-3_125_5000_plant_1,1.1678866234229293,-1,noisy,37.695158799650656,0.9262948036193848,0.9786968231201172,0.0055059688165783,0.0360508039593696,0.0360508039593696,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_6-3_125_5000_plant_1,1.1678866234229293,-1,fdncnn_color,38.20418325951918,0.9378809928894044,0.9801995158195496,0.0051108784973621,0.0360508039593696,0.0323660597205162,0,1.902710800000932,,,0.0,,,,,
real_camera,polyu_full,NikonD800_6-3_125_5000_plant_1,1.1678866234229293,-1,ectv_fdncnn,37.69742314832482,0.926349401473999,0.9787041544914246,0.0055041909217834,0.0360508039593696,0.0360348969697952,0,1.945075600000564,1.591002873459715e-05,1.5906989574432373e-05,0.9989100224483534,0.32,,0.3333333333333333,0.0037717223167419,0.0
real_camera,polyu_full,NikonD800_6-3_125_5000_plant_3,0.7594769798238868,-1,noisy,39.386288840607726,0.9498865008354188,0.9796318411827089,0.0042063784785568,0.0251809079200029,0.0251809079200029,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_6-3_125_5000_plant_3,0.7594769798238868,-1,fdncnn_color,39.76197533707084,0.95689457654953,0.9809402227401732,0.0039781723171472,0.0251809079200029,0.0230226293206214,0,1.9211749999994936,,,0.0,,,,,
real_camera,polyu_full,NikonD800_6-3_125_5000_plant_3,0.7594769798238868,-1,ectv_fdncnn,39.38684259802234,0.9498971104621888,0.9796345829963684,0.0042060362175107,0.0251809079200029,0.0251777525991201,0,1.961447399999088,3.156286307841204e-06,3.155320882797241e-06,0.9995387686389794,0.32,,0.3333333333333333,0.0013083815574645,0.0
real_camera,polyu_full,NikonD800_6-3_125_5000_plant_6,1.1582036918634422,-1,noisy,37.7333804511887,0.9345691800117492,0.9818002581596376,0.005447335075587,0.0389066413044929,0.0389066413044929,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_6-3_125_5000_plant_6,1.1582036918634422,-1,fdncnn_color,38.25283948320483,0.9462592005729676,0.9834957718849182,0.0049807969480752,0.0389066413044929,0.0352699235081672,0,1.928104900000108,,,0.0,,,,,
real_camera,polyu_full,NikonD800_6-3_125_5000_plant_6,1.1582036918634422,-1,ectv_fdncnn,37.73565097033042,0.934622585773468,0.9818081855773926,0.0054452987387776,0.0389066413044929,0.0388912260532379,0,1.968686299998808,1.5421382244963953e-05,1.54152512550354e-05,0.9989280021910284,0.32,,0.3333333333333333,0.0037611126899719,0.0
real_camera,polyu_full,NikonD800_6-3_125_5000_plant__4,1.1692950199565035,-1,noisy,37.76422989370848,0.929177463054657,0.9688631296157836,0.0051785521209239,0.025739774107933,0.025739774107933,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_6-3_125_5000_plant__4,1.1692950199565035,-1,fdncnn_color,38.38566171367307,0.9455906748771667,0.973628044128418,0.0045561594888567,0.025739774107933,0.0216226447373628,0,1.90442019999864,,,0.0,,,,,
